CLASE SINIESTRO,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,ZONA,TIPO DE VÍA,RED VIAL,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,MTC_RVN_LONGITUD_KM,MTC_RVN_N_CARRILES_MEDIANA,MTC_RVN_SUPERFICIE_DOMINANTE,MTC_RVN_ESTADO_DOMINANTE,MTC_RVN_ES_CONCESIONADA,MTC_RVN_CONCESION_PRINCIPAL,MTC_RVN_CORREDOR_LOGISTICO,MTC_RVN_N_TRAMOS,IDH_2019,IDH_ESP_VIDA_2019,IDH_EDUC_SECUND_PCT_2019,IDH_ANIOS_EDUC_2019,IDH_INGRESO_PERCAP_2019,IDH_POBLACION_2019,MTC_DEP_RED_TOTAL_KM,MTC_DEP_NACIONAL_TOTAL_KM,MTC_DEP_DEPARTAMENTAL_TOTAL_KM,MTC_DEP_VECINAL_TOTAL_KM,MTC_DEP_PAV_TOTAL_KM,MTC_DEP_NO_PAV_TOTAL_KM,MTC_DEP_PCT_PAVIMENTADA,CATEGORIA_SEVERIDAD,CATEGORIA_SEVERIDAD_ENC
3,2,10,2,4,1,-13.963668753161592,-75.69515216658996,0,1,7,1,2,2,2,2,2021,1,5,1,19,2,0,583.2950000000001,1.0,1,3,0.0,9,32,248.0,0.6267320904570742,78.75055145863993,77.68950629139908,9.132898531488795,1104.4394499003888,6644.670235546039,3721.461,698.1859999999996,744.866,2278.409,1102.9029999999996,2618.558,29.636290693359403,LEVE,2
0,1,13,2,4,1,-6.145723,-79.718245,0,3,0,0,2,1,1,0,2021,1,6,1,2,0,0,1305.18,2.0,2,0,1.0,1,20,163.0,0.4974674218418852,75.93907983080418,58.3357972839862,7.69595447676265,761.2908213145297,28734.96573875803,3459.691,515.0619999999999,689.7280000000001,2254.901,703.3549999999999,2756.336,20.329994788551925,LEVE,2
1,0,14,0,4,1,-11.030083804634163,-77.5926482784233,0,4,7,1,2,2,2,0,2021,1,6,1,5,0,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.6058977644686256,75.86009868534626,65.24867654925505,8.328201694517173,1216.0018080234922,26242.524625267662,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,LEVE,2
3,2,21,2,4,1,-6.039758,-77.060566,0,4,7,1,2,1,0,2,2021,1,6,1,5,0,1,7758.33400008,2.0,2,0,1.0,9,20,2133.0,0.5147882301210585,74.70882653725891,51.74890369370718,6.543161279603341,1011.2929178100565,4267.862955032119,5645.136,815.0759999999999,965.298,3864.762,1013.406,4631.73,17.95184385283189,LEVE,2
3,2,12,0,4,2,-7.723725,-79.342576,0,4,7,1,2,2,2,0,2021,1,6,1,12,3,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.5345074857798321,76.79673752589963,64.57887254166187,7.835494818831411,867.2803588353443,27037.03854389721,8931.828000000005,1335.5899999999997,1935.9830000000004,5660.255000000005,1219.309,7712.519000000005,13.651281686122925,LEVE,2
10,1,13,0,4,1,-6.880811,-79.363869,0,4,9,1,2,1,1,2,2021,1,6,1,14,3,0,574.472,1.0,2,3,1.0,9,32,139.0,0.4828871661592251,81.92459531274005,52.45086805096869,7.420303097580289,677.0859623339926,2320.618843683083,3459.691,515.0619999999999,689.7280000000001,2254.901,703.3549999999999,2756.336,20.329994788551925,LEVE,2
3,3,9,2,4,1,-9.913026,-76.23101,0,4,7,0,2,2,2,2,2021,1,6,1,20,2,2,693.175,2.0,2,3,0.0,9,10,249.0,0.6180444460983137,74.03039022888252,77.03642562714263,10.109576076622472,1095.6415212894094,74635.5374732334,8209.057,1333.4779999999996,791.9770000000001,6083.602,1059.8589999999997,7149.198,12.910849565303296,LEVE,2
3,2,14,0,4,1,-11.605630713512038,-77.24177233479881,0,4,7,1,2,1,0,2,2021,1,6,1,20,2,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.6328991168419597,79.8522840328396,72.51785912375117,8.65057438382499,1190.6734036432963,65701.61456102783,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,LEVE,2
0,1,13,0,4,1,-6.637867,-79.950015,0,4,7,1,2,2,2,0,2021,1,0,0,1,0,0,6543.555,3.0,2,0,1.0,0,30,1475.0,0.5539280527450423,74.69452916859504,66.89728158703436,9.542777400516576,872.5509264417765,79617.09421841543,3459.691,515.0619999999999,689.7280000000001,2254.901,703.3549999999999,2756.336,20.329994788551925,LEVE,2
6,1,22,0,4,1,-17.4667790645833,-70.0345603030153,0,4,7,0,2,2,2,2,2021,1,0,0,6,1,0,1139.285,1.0,1,3,0.0,9,32,176.0,0.479144354938278,77.10269572406608,76.83021049540254,8.144639641847931,567.9442590994697,3239.852248394004,2650.572,630.6729999999998,487.3610000000001,1532.5379999999998,1068.7019999999998,1581.87,40.31967439480987,LEVE,2
0,1,7,0,4,1,-14.9720021054264,-71.1823097310146,5,4,7,1,7,1,0,0,2021,1,0,0,7,1,2,568.5409999999999,1.0,2,3,0.0,9,3,93.0,0.3491291336434085,68.34579473193322,63.63866309000273,4.984551874124405,419.36068685534286,1114.627408993576,17779.13499998999,2097.3709999899997,2863.123,12818.640999999989,2878.713,14900.421999989989,16.19152450331032,LEVE,2
3,2,12,0,4,1,-7.743064,-79.08115,0,4,7,1,2,2,2,2,2021,1,0,0,7,1,0,748.6850000000001,2.0,2,0,0.0,9,32,215.0,0.5721567587688113,77.67102283812494,66.21373667954742,8.464777379360486,978.4498488219192,15563.077087794432,8931.828000000005,1335.5899999999997,1935.9830000000004,5660.255000000005,1219.309,7712.519000000005,13.651281686122925,GRAVE_LESIONADOS,0
