CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,AÑO,MES,DIA_SEMANA,ES_FIN_SEMANA,HORA_NUM,FRANJA_HORARIA,REGION_NATURAL,CATEGORIA_SEVERIDAD,MORTALIDAD_MULTIPLE,LESION_MULTIPLE
ATROPELLO FUGA,1,0,1,CUSCO,CUSCO,SAYLLA,RURAL,CARRETERA,NACIONAL,PE-3S,-13.5622442294915,-71.8434993771835,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,SIN_DATO,SIN_DATO,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,0,0,3,MADRUGADA,SIERRA,LEVE,0,0
ATROPELLO,1,0,1,LIMA,LIMA,LURIGANCHO,RURAL,CARRETERA,NACIONAL,PE-22,-11.954256,-76.730129,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,0,0,9,MAÑANA,COSTA,LEVE,0,0
CHOQUE,1,1,1,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.965306238489257,-76.99773721525912,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,0,0,20,NOCHE,COSTA,LEVE,0,0
ATROPELLO,1,0,1,LIMA,LIMA,EL AGUSTINO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.034875774066672,-76.99799126421185,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,PREVENTIVA (P),SIN_DATO,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,0,0,23,NOCHE,COSTA,LEVE,0,0
CHOQUE,3,0,2,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,RURAL,CARRETERA,NACIONAL,PE-1N,-3.652793555951076,-80.61711244865074,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,2025,3,1,0,0,MADRUGADA,COSTA,GRAVE_MORTALIDAD,1,0
DESPISTE,1,0,1,ANCASH,BOLOGNESI,CAJACAY,RURAL,CARRETERA,NACIONAL,PE-16,-10.148284647016,-77.3702412561872,LLUVIOSO,RURAL,CURVA,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,2,0,2,MADRUGADA,SIERRA,LEVE,0,0
VOLCADURA,4,33,1,AREQUIPA,CAMANA,QUILCA,RURAL,CARRETERA,NACIONAL,PE-1SD,-16.669582,-72.562248,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,3,0,2,MADRUGADA,COSTA,GRAVE_MORTALIDAD,1,1
ATROPELLO FUGA,1,0,1,AREQUIPA,AREQUIPA,CERRO COLORADO,URBANA,CARRETERA,DEPARTAMENTAL,AR-123,-16.36028,-71.618907,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,3,0,5,MADRUGADA,COSTA,LEVE,0,0
DESPISTE,1,0,1,LIMA,LIMA,ATE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.035994428703468,-76.93630900247845,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,3,0,8,MAÑANA,COSTA,LEVE,0,0
ATROPELLO,1,1,1,LIMA,HUARAL,CHANCAY,URBANA,CARRETERA,NACIONAL,PE-1N,-11.596199,-77.2544769,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,REGULADORA (R),SIN_DATO,NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2025,3,3,0,17,TARDE,COSTA,LEVE,0,0
